 -----------------------------------------------------------------
 PMTF-REV.dat 2021.03.19 13.26.45
 Model: MODELS/PREM_LT60_NV5_VM5a.dat                                                                       
 MP:       128
 -----------------------------------------------------------------
 
 PMTF:
   1.4459380042567671      A_e (elastic)
           1  -5.0241832735822815E-012  -7.0796799643959446E-009 i, V_i^^, s_i (i=1,...,M)
           2  -9.4463747169946552E-007  -4.2016890871014442E-005
           3  -6.0770838794140878E-005  -4.3161985459878318E-004
           4  -1.4316220787022795E-003  -3.3851453236339096E-003
           5   1.6486683103554716E-003  -4.8647741014271835E-002
           6   9.1241456158623113E-002 -0.15321168958783563     
           7   6.7347108130762628E-006 -0.21249703290512004     
           8   1.9127350388391748E-145 -0.21284338895999999     
           9  0.17311068816808570      -0.34238093506479317     
          10   7.3068400087366592E-002  -1.0338761466230988     
          11   8.1640005815977060E-131  -2.3884120421052630     
          12  -1.4823963305050404E-003  -3.2424908394305967     
          13   5.2604451412136162E-003  -3.5466895936714442     
          14  -3.0126173816914945E-126  -3.6825910165605094     
          15   3.2464189750688329E-004  -4.5864888725691966     
          16   8.7219390819987951E-004  -4.6399338217624546     
          17  -1.6840210148071012E-124  -4.6625722847999995     
          18  -3.5963194963204153E-004  -6.6444429963182952     
          19   5.9106690180995743E-003  -6.9121304866377491     
          20   2.5546842986785165E-125  -6.9982133759999989     
